date,side,sector,category,amount,currency,amount_pct_gdp,certainty,source,source_date
2002-10-01,asset,general_government,financial.total,11219592.0,CLP,,reported,banco_central,2026-03-22
2003-01-01,asset,general_government,financial.total,12425663.200000001,CLP,,reported,banco_central,2026-03-22
2003-04-01,asset,general_government,financial.total,11430819.600000001,CLP,,reported,banco_central,2026-03-22
2003-07-01,asset,general_government,financial.total,10794784.799999999,CLP,,reported,banco_central,2026-03-22
2003-10-01,asset,general_government,financial.total,9435213.0,CLP,,reported,banco_central,2026-03-22
2004-01-01,asset,general_government,financial.total,10312169.299999999,CLP,,reported,banco_central,2026-03-22
2004-04-01,asset,general_government,financial.total,10592685.7,CLP,,reported,banco_central,2026-03-22
2004-07-01,asset,general_government,financial.total,10344376.0,CLP,,reported,banco_central,2026-03-22
2004-10-01,asset,general_government,financial.total,9465709.9,CLP,,reported,banco_central,2026-03-22
2005-01-01,asset,general_government,financial.total,10636713.700000001,CLP,,reported,banco_central,2026-03-22
2005-04-01,asset,general_government,financial.total,10663314.0,CLP,,reported,banco_central,2026-03-22
2005-07-01,asset,general_government,financial.total,10085014.8,CLP,,reported,banco_central,2026-03-22
2005-10-01,asset,general_government,financial.total,9840290.9,CLP,,reported,banco_central,2026-03-22
2006-01-01,asset,general_government,financial.total,11395598.200000001,CLP,,reported,banco_central,2026-03-22
2006-04-01,asset,general_government,financial.total,13040635.700000001,CLP,,reported,banco_central,2026-03-22
2006-07-01,asset,general_government,financial.total,14831685.9,CLP,,reported,banco_central,2026-03-22
2006-10-01,asset,general_government,financial.total,15160527.1,CLP,,reported,banco_central,2026-03-22
2007-01-01,asset,general_government,financial.total,17303377.799999997,CLP,,reported,banco_central,2026-03-22
2007-04-01,asset,general_government,financial.total,19498512.900000002,CLP,,reported,banco_central,2026-03-22
2007-07-01,asset,general_government,financial.total,21305364.7,CLP,,reported,banco_central,2026-03-22
2007-10-01,asset,general_government,financial.total,20813190.4,CLP,,reported,banco_central,2026-03-22
2008-01-01,asset,general_government,financial.total,20965262.900000002,CLP,,reported,banco_central,2026-03-22
2008-04-01,asset,general_government,financial.total,25417812.6,CLP,,reported,banco_central,2026-03-22
2008-07-01,asset,general_government,financial.total,27921208.2,CLP,,reported,banco_central,2026-03-22
2008-10-01,asset,general_government,financial.total,31312016.7,CLP,,reported,banco_central,2026-03-22
2009-01-01,asset,general_government,financial.total,28213698.1,CLP,,reported,banco_central,2026-03-22
2009-04-01,asset,general_government,financial.total,24135912.1,CLP,,reported,banco_central,2026-03-22
2009-07-01,asset,general_government,financial.total,25331086.5,CLP,,reported,banco_central,2026-03-22
2009-10-01,asset,general_government,financial.total,22778536.599999998,CLP,,reported,banco_central,2026-03-22
2010-01-01,asset,general_government,financial.total,23859351.5,CLP,,reported,banco_central,2026-03-22
2010-04-01,asset,general_government,financial.total,25509168.2,CLP,,reported,banco_central,2026-03-22
2010-07-01,asset,general_government,financial.total,24582825.3,CLP,,reported,banco_central,2026-03-22
2010-10-01,asset,general_government,financial.total,22954439.900000002,CLP,,reported,banco_central,2026-03-22
