date,usd_to_clp
1982-08-09,55.65
1982-08-10,62.79
1982-08-11,64.07
1982-08-12,60.52
1982-08-13,56.87
1982-08-16,55.32
1982-08-17,55.28
1982-08-18,55.53
1982-08-19,56.65
1982-08-20,58.63
1982-08-23,60.28
1982-08-24,56.82
1982-08-25,55.67
1982-08-26,55.58
1982-08-27,55.79
1982-08-30,58.42
1982-08-31,58.81
1982-09-01,57.1
1982-09-02,58.84
1982-09-03,58.99
1982-09-06,59.52
1982-09-07,59.71
1982-09-08,59.49
1982-09-09,60.15
1982-09-10,61.07
1982-09-13,62.43
1982-09-14,62.88
1982-09-15,64.44
1982-09-16,66.48
1982-09-17,67.5
1982-09-20,66.11
1982-09-21,64.84
1982-09-22,63.8
1982-09-23,64.33
1982-09-24,64.37
1982-09-27,65.12
1982-09-28,65.7
1982-09-29,66.87
1982-09-30,67.23
1982-10-01,67.41
1982-10-04,66.81
1982-10-05,66.23
1982-10-06,65.94
1982-10-07,66.02
1982-10-08,65.97
1982-10-11,65.85
1982-10-13,65.63
1982-10-14,65.8
1982-10-15,65.63
1982-10-18,65.89
1982-10-19,65.79
1982-10-20,65.82
1982-10-21,65.96
1982-10-22,66.05
1982-10-25,66.36
1982-10-26,66.72
1982-10-27,66.93
1982-10-28,67.21
1982-10-29,67.34
1982-11-02,67.74
1982-11-03,67.82
1982-11-04,68.02
1982-11-05,68.11
1982-11-08,68.26
1982-11-09,68.52
1982-11-10,68.68
1982-11-11,68.78
1982-11-12,68.96
1982-11-15,69.2
1982-11-16,69.32
1982-11-17,69.36
1982-11-18,69.36
1982-11-19,69.48
1982-11-22,69.61
1982-11-23,69.93
1982-11-24,70.08
1982-11-25,70.24
1982-11-26,70.38
1982-11-29,70.47
1982-11-30,70.57
1982-12-01,70.66
1982-12-02,71.07
1982-12-03,71.91
1982-12-06,73.54
1982-12-07,72.26
1982-12-09,72.13
1982-12-10,71.86
1982-12-13,72.01
1982-12-14,72.24
1982-12-15,72.22
1982-12-16,72.06
1982-12-17,72.13
1982-12-20,72.26
1982-12-21,72.42
1982-12-22,72.43
1982-12-23,72.44
1982-12-24,72.68
1982-12-27,73.25
1982-12-28,73.52
1982-12-29,73.55
1982-12-30,73.57
1983-01-03,73.43
1983-01-04,73.83
1983-01-05,73.86
1983-01-06,74.11
1983-01-07,73.98
1983-01-10,73.9
