date,side,sector,category,amount,currency,amount_pct_gdp,certainty,source,source_date
2007-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,6.96,CLP,,estimated,dipres_pdf,2007-12-01
2008-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.86,CLP,,reported,dipres_pdf,2008-11-01
2009-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.18,CLP,,reported,dipres_pdf,2009-12-01
2010-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.0,CLP,,reported,dipres_pdf,2010-12-01
2011-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,3.24,CLP,,reported,dipres_pdf,2011-12-01
2012-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,3.72,CLP,,reported,dipres_pdf,2012-12-01
2013-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,3.72,CLP,,reported,dipres_pdf,2013-12-01
2014-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.04,CLP,,reported,dipres_pdf,2014-12-01
2015-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.28,CLP,,reported,dipres_pdf,2015-12-01
2016-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.44,CLP,,reported,dipres_pdf,2016-12-01
2017-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.41,CLP,,reported,dipres_pdf,2017-12-01
2018-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,4.34,CLP,,reported,dipres_pdf,2018-12-01
2019-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,7.81,CLP,,reported,dipres_pdf,2019-12-01
2020-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,9.74,CLP,,reported,dipres_pdf,2020-12-01
2021-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,10.44,CLP,,reported,dipres_pdf,2021-12-01
2022-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,10.83,CLP,,reported,dipres_pdf,2022-12-01
2023-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,11.16,CLP,,reported,dipres_pdf,2023-12-01
2024-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,10.36,CLP,,reported,dipres_pdf,2024-12-01
2025-12-31,liability,general_government,ratio.contingent_liabilities_pct_gdp,8.92,CLP,,reported,dipres_pdf,2025-12-01
